filename,fqn,namespace,name,current_support_level,new_support_level,scenario_file,scenario_plugin_type,matched_line
lib/ansible/module_utils/_text.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,_text.py
lib/ansible/module_utils/acme.py,community.general,community,general,community,community,unclaimed!,module_utils,unclaimed!
lib/ansible/module_utils/alicloud_ecs.py,community.general,community,general,community,community,unclaimed!,module_utils,unclaimed!
lib/ansible/module_utils/ansible_release.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,ansible_release.py
lib/ansible/module_utils/ansible_tower.py,awx.awx,awx,awx,community,community,scenarios/nwo/awx.yml,module_utils,ansible_tower.py
lib/ansible/module_utils/api.py,base,ansible,base,community,core,scenarios/nwo/ansible.yml,module_utils,api.py
lib/ansible/module_utils/aws/acm.py,community.general,community,general,community,community,unclaimed!,module_utils,unclaimed!
lib/ansible/module_utils/aws/batch.py,community.general,community,general,community,community,unclaimed!,module_utils,unclaimed!
lib/ansible/module_utils/aws/cloudfront_facts.py,community.general,community,general,community,community,unclaimed!,module_utils,unclaimed!
lib/ansible/module_utils/aws/core.py,base,ansible,base,community,core,scenarios/nwo/ansible.yml,module_utils,aws/core.py
lib/ansible/module_utils/aws/direct_connect.py,community.general,community,general,community,community,unclaimed!,module_utils,unclaimed!
lib/ansible/module_utils/aws/elb_utils.py,community.general,community,general,community,community,unclaimed!,module_utils,unclaimed!
lib/ansible/module_utils/aws/elbv2.py,community.general,community,general,community,community,unclaimed!,module_utils,unclaimed!
lib/ansible/module_utils/aws/iam.py,community.general,community,general,community,community,unclaimed!,module_utils,unclaimed!
lib/ansible/module_utils/aws/rds.py,community.general,community,general,community,community,unclaimed!,module_utils,unclaimed!
lib/ansible/module_utils/aws/s3.py,community.general,community,general,community,community,unclaimed!,module_utils,unclaimed!
lib/ansible/module_utils/aws/urls.py,base,ansible,base,community,core,scenarios/nwo/ansible.yml,module_utils,aws/urls.py
lib/ansible/module_utils/aws/waf.py,community.general,community,general,community,community,unclaimed!,module_utils,unclaimed!
lib/ansible/module_utils/aws/waiters.py,community.general,community,general,community,community,unclaimed!,module_utils,unclaimed!
lib/ansible/module_utils/azure_rm_common.py,azure.azcollection,azure,azcollection,community,community,scenarios/nwo/azure.yml,module_utils,azure_rm_common.py
lib/ansible/module_utils/azure_rm_common_ext.py,azure.azcollection,azure,azcollection,community,community,scenarios/nwo/azure.yml,module_utils,azure_rm_common_ext.py
lib/ansible/module_utils/azure_rm_common_rest.py,azure.azcollection,azure,azcollection,community,community,scenarios/nwo/azure.yml,module_utils,azure_rm_common_rest.py
lib/ansible/module_utils/basic.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,basic.py
lib/ansible/module_utils/cloud.py,community.general,community,general,community,community,unclaimed!,module_utils,unclaimed!
lib/ansible/module_utils/cloudscale.py,community.general,community,general,community,community,unclaimed!,module_utils,unclaimed!
lib/ansible/module_utils/cloudstack.py,community.general,community,general,community,community,unclaimed!,module_utils,unclaimed!
lib/ansible/module_utils/common/_collections_compat.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,common/_collections_compat.py
lib/ansible/module_utils/common/_json_compat.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,common/_json_compat.py
lib/ansible/module_utils/common/_utils.py,base,ansible,base,core,core,scenarios/nwo/ansible.yml,module_utils,common/_utils.py
